x1	x2	y
0	0.911099375	1.916842515
0.02020202	0.130617313	1.283732123
0.04040404	0.864949564	1.02764464
0.060606061	1.497345178	1.112184244
0.080808081	0.222906656	0.304086659
0.101010101	0.392721645	1.861622217
0.121212121	0.594039973	1.450164998
0.141414141	0.376071413	0.271739182
0.161616162	0.796195919	0.041766431
0.181818182	1.484470326	0.413460468
0.202020202	1.638368857	0.532470221
0.222222222	1.384646484	0.422758469
0.242424242	1.701999778	0.311843668
0.262626263	1.058618488	0.316186509
0.282828283	1.909680634	2.077800417
0.303030303	0.467672673	0.929687092
0.323232323	0.721107196	1.175627094
0.343434343	0.548517599	1.121100741
0.363636364	1.612036	1.729822851
0.383838384	1.951433686	1.84814386
0.404040404	0.628264794	0.881664
0.424242424	0.67449946	0.681071043
0.444444444	1.767297302	0.634182881
0.464646465	2.13688571	1.17418211
0.484848485	1.863793731	1.279088736
0.505050505	2.164900185	2.155004532
0.525252525	1.17820828	0.288736378
0.545454545	0.87305396	1.474539018
0.565656566	2.066400608	1.569792053
0.585858586	1.501135492	1.719813195
0.606060606	1.959381473	1.804287668
0.626262626	2.053406667	1.874960034
0.646464646	2.162644387	1.333497078
0.666666667	1.140616086	1.601060144
0.686868687	2.082627323	1.491259521
0.707070707	1.543971979	0.633386471
0.727272727	1.892097094	1.102146935
0.747474747	2.341801837	2.360324242
0.767676768	1.76035048	1.330164187
0.787878788	2.099702446	2.044076862
0.808080808	2.150895427	1.742024826
0.828282828	1.769955644	1.944691148
0.848484848	2.187622343	0.819611201
0.868686869	1.820352318	2.254457994
0.888888889	2.334280105	0.955826041
0.909090909	1.583319853	2.357976161
0.929292929	2.294844923	1.408580106
0.949494949	2.140312469	1.505263502
0.96969697	2.563149849	1.104072217
0.98989899	1.882764702	1.612756819
1.01010101	2.405884972	2.993086544
1.03030303	1.581821671	1.169774629
1.050505051	2.475397577	1.410946633
1.070707071	2.908489428	2.520961306
1.090909091	2.1237386	2.279349971
1.111111111	3.037864491	2.974259712
1.131313131	2.911353918	2.840074992
1.151515152	2.6725051	3.15858091
1.171717172	2.498097359	3.33268488
1.191919192	2.636895918	3.068000824
1.212121212	2.977550953	2.8020502
1.232323232	2.089583677	2.050876107
1.252525253	3.320524876	2.769750729
1.272727273	3.177710395	3.397540986
1.292929293	3.423189985	3.212271878
1.313131313	2.501726963	1.835500804
1.333333333	3.374661213	3.452212597
1.353535354	2.678528679	3.197161645
1.373737374	2.76635115	2.570399917
1.393939394	3.212338322	2.80263948
1.414141414	2.301086013	3.69036415
1.434343434	3.362625592	3.442265212
1.454545455	3.370363793	2.768434247
1.474747475	2.974497076	3.08719656
1.494949495	2.262097629	3.883447619
1.515151515	3.67900032	3.675839623
1.535353535	3.782058257	2.977068799
1.555555556	2.556791048	2.981497896
1.575757576	2.899583232	3.540676524
1.595959596	3.534206295	4.413822926
1.616161616	3.50962245	4.147938527
1.636363636	3.836776388	4.253140882
1.656565657	2.996177665	3.370967024
1.676767677	4.000728622	3.621497107
1.696969697	3.411523697	3.220966837
1.717171717	2.686539437	2.962783578
1.737373737	3.793857406	4.602071628
1.757575758	3.992577267	4.710052287
1.777777778	3.538421257	4.704388231
1.797979798	3.316705303	3.76194944
1.818181818	4.071384141	3.561914504
1.838383838	4.197435199	4.656240602
1.858585859	3.088204683	4.291635357
1.878787879	3.938496825	3.914382576
1.898989899	4.309785423	4.698418664
1.919191919	4.255342569	5.558256512
1.939393939	4.022197324	4.091374925
1.95959596	3.862800059	3.986687646
1.97979798	3.829334952	5.628933049
2	3.433471136	5.141549678
2.020202	3.034616859	4.607579938
2.04040402	4.467042282	4.54414807
2.06060604	3.092218198	6.148110281
2.08080806	3.734534461	4.437105439
2.10101008	4.31224191	5.06156606
2.1212121	3.519502031	4.582640698
2.14141412	3.256718776	5.374861197
2.16161614	4.063611004	6.411375809
2.18181816	4.370023804	6.230938086
2.20202018	4.243463032	4.953815204
2.2222222	3.362811758	6.864090766
2.24242422	4.0378204	6.825000293
2.26262624	4.018610086	5.756791039
2.28282826	4.83116459	7.128106382
2.30303028	3.550706912	7.124617096
2.3232323	4.31877882	5.688151441
2.34343432	4.764863416	6.019942141
2.36363634	3.760933092	6.909766979
2.38383836	4.753042122	6.57548277
2.40404038	4.296594787	6.52565683
2.4242424	5.02585039	6.522569309
2.44444442	4.562033372	7.893916503
2.46464644	3.963896129	7.236445756
2.48484846	4.207150863	7.401801947
2.50505048	4.322460073	6.489859796
2.5252525	4.225633193	6.519571053
2.54545452	5.182215024	8.228891761
2.56565654	4.571735372	7.261155696
2.58585856	4.804171423	8.329998498
2.60606058	5.242500388	7.121944252
2.6262626	4.591113154	7.533071294
2.64646462	4.92727174	8.043071746
2.66666664	4.093087884	8.053577413
2.68686866	5.203204892	8.442392661
2.70707068	4.601557587	7.483068522
2.7272727	4.189560791	7.506417321
2.74747472	5.008492626	8.80600605
2.76767674	4.842718268	9.641452706
2.78787876	5.662524795	9.025806362
2.80808078	4.295519052	8.470519171
2.8282828	5.12349232	9.752150439
2.84848482	5.299755244	9.776125595
2.86868684	5.192470633	8.418197202
2.88888886	5.492886754	10.13090553
2.90909088	4.558327743	9.167585097
2.9292929	5.343103475	8.81011588
2.94949492	4.480405669	9.202137659
2.96969694	4.979178237	8.981196412
2.98989896	4.742508048	9.218877201
3.01010098	4.792344841	11.00374999
3.030303	5.234205475	10.13199025
3.05050502	4.676352979	10.91108353
3.07070704	4.807006291	11.02299196
3.09090906	6.065797214	9.876154867
3.11111108	5.131781492	10.96059366
3.1313131	5.271637406	11.6726922
3.15151512	5.284272664	10.22151012
3.17171714	5.546187985	11.56029263
3.19191916	6.082223144	10.40456447
3.21212118	5.944951438	12.3029829
3.2323232	5.745011285	11.25903302
3.25252522	5.021808432	11.19382356
3.27272724	5.838252775	11.74742789
3.29292926	5.933163942	12.30677687
3.31313128	5.306134273	12.88673107
3.3333333	6.249715781	12.93110399
3.35353532	5.792717899	11.24995252
3.37373734	6.532076855	11.49236678
3.39393936	6.370383859	12.60024653
3.41414138	5.555896919	12.20092534
3.4343434	5.31552442	13.04454457
3.45454542	6.070665182	12.84395634
3.47474744	5.810737109	13.82381501
3.49494946	6.444909524	13.94591865
3.51515148	6.336139032	13.45258164
3.5353535	5.629128833	14.3229523
3.55555552	6.284682887	14.15532861
3.57575754	6.6166877	14.25454499
3.59595956	6.513717572	14.46947081
3.61616158	6.799848561	13.44730162
3.6363636	6.054856699	14.26970391
3.65656562	6.389691403	13.95070782
3.67676764	5.529025932	15.19029384
3.69696966	5.616858547	15.20579136
3.71717168	5.806561946	15.62792537
3.7373737	6.45221263	15.65630342
3.75757572	6.547225388	15.47180593
3.77777774	6.174642426	15.39700249
3.79797976	6.6645803	15.37653018
3.81818178	6.128097977	15.33196758
3.8383838	6.365722659	15.33402357
3.85858582	6.282132837	15.50532764
3.87878784	6.876336465	15.26057429
3.89898986	6.876719403	16.06118179
3.91919188	7.257299639	16.8505726
3.9393939	6.568757617	15.78881876
3.95959592	7.184443877	16.98412134
3.97979794	6.048651443	17.56581303
3.99999996	6.303993803	17.78839353
